title,runtime,release_year
Paths of Hate,10.0,2011
Bloody Birthday,85.0,1981
Ski Patrol,91.0,1990
Long Way Round,294.0,2004
Dumb and Dumber To,110.0,2014
The Legend of Sarila,80.0,2013
Imago mortis,0.0,2009
The Gun That Won the West,71.0,1955
The Longest Week,86.0,2014
Gunfighters,87.0,1947
Tales of the Grim Sleeper,105.0,2014
The Yes Men Are Revolting,90.0,2014
God is the Bigger Elvis,37.0,2012
The Wicker Tree,96.0,2011
The Green,90.0,2011
The Damned,87.0,2013
Deliver Us from Evil,75.0,1973
Miss Meadows,88.0,2014
Too Many Cooks,11.0,2014
Murder Over New York,65.0,1940
Repentance,90.0,2014
Quantum Love,81.0,2014
Cass,108.0,2008
Dorothy Mills,102.0,2008
Dear White People,108.0,2014
The Man Who Loved Yngve,90.0,2008
Camino,143.0,2008
Alucarda,74.0,1977
Painted Skin,103.0,2008
One Chance,103.0,2013
Rent: Filmed Live on Broadway,165.0,2008
Columbus Day,90.0,2008
An Empress and the Warriors,99.0,2008
Lucky Them,96.0,2013
Dil Bole Hadippa!,148.0,2009
Border Café,105.0,2005
Last Weekend,94.0,2014
May in the Summer,100.0,2013
"Nono, the Zigzag Kid",90.0,2012
Tip Top,106.0,2013
October Gale,91.0,2014
Musicwood,80.0,2012
Liar's Dice,104.0,2014
How Do You Write a Joe Schermann Song,104.0,2012
Calloused Hands,100.0,2013
BFFs,90.0,2014
Winter in the Blood,98.0,2013
The Theory of Everything,123.0,2014
Amira & Sam,90.0,2014
Love Sick Love,83.0,2012
Double Tide,99.0,2009
"Moscow, Belgium",102.0,2008
Brigham Young,114.0,1940
Johnny Apollo,94.0,1940
It All Came True,97.0,1940
Doctor Who: The Time of the Doctor,60.0,2013
Dolphin Tale 2,107.0,2014
Lucky Partners,99.0,1940
Ahí está el detalle,112.0,1940
Demoted,94.0,2011
Deranged,78.0,2012
When the Game Stands Tall,115.0,2014
Aashiqui 2,132.0,2013
ABCs of Death 2,125.0,2014
Neurons to Nirvana,69.0,2013
Fillmore,105.0,1972
The Flyboys,118.0,2008
The Last Word,90.0,2008
Dream Boy,88.0,2008
TBS,90.0,2008
Take the Trash,80.0,2008
Les invincibles,0.0,2013
Miserere,106.0,2013
Queens of the Ring,97.0,2013
The New Girlfriend,105.0,2014
"Sex, Love & Therapy",0.0,2014
Red Mist,98.0,2008
"Bangkok, We Have A Problem!",93.0,2014
Real Time,80.0,2008
Ragnarok,120.0,2013
Secrets Of State,100.0,2008
Farm House,92.0,2008
A Matador's Mistress,92.0,2008
A Kind of America 2,110.0,2008
Parasomnia,103.0,2008
Fast Track: No Limits,96.0,2008
20th Century Boys - Chapter 1: Beginning of the End,142.0,2008
Stiletto,99.0,2008
If You Are the One,130.0,2008
Virunga,90.0,2014
Sick Girl,83.0,2007
The Madagascar Penguins in a Christmas Caper,11.0,2005
The Seven-Ups,103.0,1973
V/H/S: Viral,81.0,2014
Running from Crazy,105.0,2013
April Story,67.0,1998
Happiness,80.0,2014
Victor and the Secret of Crocodile Mansion,83.0,2012
The Boy Who Cried Werewolf,97.0,2010
Nothing But the Night,90.0,1973
Destroyer,99.0,1943
Mr Hockey The Gordie Howe Story,88.0,2013
Gone Nutty,5.0,2002
The Heart Machine,85.0,2014
Starry Eyes,98.0,2014
End of the Road,110.0,1970
When Marnie Was There,103.0,2014
Lupin the 3rd,133.0,2014
The Monkey King,119.0,2014
Song of the Sea,93.0,2014
Rakuen Tsuihou - Expelled from Paradise,104.0,2014
Kiki's Delivery Service,108.0,2014
Exit,90.0,2011
Tied,80.0,2013
The Magic Crystal,80.0,2011
Beyond the Lights,116.0,2014
Misunderstood,91.0,1984
Treasure of the Four Crowns,97.0,1983
The Last Shark,88.0,1981
Paulette,87.0,2013
In the Heart of the Sea,122.0,2015
Don't Take God's Children for Wild Geese,85.0,1968
Les Tuche,95.0,2011
Comme les 5 doigts de la main,117.0,2010
Iceman,103.0,2014
Stockholm Stories,97.0,2013
Pressed,105.0,2011
The Care Bears Adventure in Wonderland,75.0,1987
Merry-Go-Round,110.0,1923
Fatty and Mabel Adrift,34.0,1916
A Connecticut Yankee in King Arthur's Court,96.0,1989
A Promise,94.0,2013
Alien Nation: Dark Horizon,90.0,1994
Alien Nation: Body and Soul,87.0,1995
Alien Nation: The Enemy Within,91.0,1996
Alien Nation: Millennium,90.0,1996
The Pig,105.0,2013
Crackers,98.0,1984
The Wall,174.0,1975
City Slacker,90.0,2012
Hello Ladies: The Movie,85.0,2014
Dzhamilya,83.0,1969
Codebreaker,62.0,2011
Listen Up Philip,108.0,2014
Hot Stuff,91.0,1979
Squeeze Play,96.0,1979
Love You You,91.0,2011
Ain't in It for My Health: A Film About Levon Helm,83.0,2010
Seducing Mr. Perfect,107.0,2006
Jurassic World,124.0,2015
Watermark,92.0,2013
Citizenfour,114.0,2014
Dans la peau d'une grande,0.0,2011
David et Madame Hansen,89.0,2012
Pop Redemption,0.0,2013
Home Sweet Home,100.0,2008
LOL (Laughing Out Loud),103.0,2008
Asterix: The Mansions of the Gods,85.0,2014
She Monkeys,84.0,2011
The Taking of Deborah Logan,90.0,2014
Admissions,84.0,2004
House Hunting,102.0,2013
Alive Inside,74.0,2014
Last I Heard,98.0,2013
God Forgives... I Don't!,109.0,1967
Santa Who?,92.0,2000
Hit by Lightning,89.0,2014
The Incite Mill,107.0,2010
Pumzi,21.0,2009
1½ Knights - In Search of the Ravishing Princess Herzelinde,116.0,2008
Christmas Cottage,96.0,2008
A Five Star Life,85.0,2013
The Boy in the Mirror,78.0,2014
My Dear Desperado,100.0,2010
The 39 Steps,90.0,2008
Horrible Bosses 2,108.0,2014
Poto and Cabengo,77.0,1980
Detention of the Dead,87.0,2012
Devil's Doorway,84.0,1950
Diary of a Madman,96.0,1963
Disciples of the 36th Chamber,89.0,1985
Disengagement,115.0,2007
The Beaver Trilogy,83.0,2000
Divorce,71.0,1945
Doctor at Large,104.0,1957
Doctor in Distress,102.0,1963
Doctor in the House,92.0,1954
Don Juan,112.0,1926
Don Juan,104.0,1998
Don't Answer the Phone!,94.0,1980
Don't Give Up the Ship,89.0,1959
Don't Go Near the Water,107.0,1957
Donner Pass,90.0,2012
Double Trouble,86.0,1992
Down the Shore,93.0,2011
Down to the Sea in Ships,120.0,1949
Dr. Dolittle: Million Dollar Mutts,90.0,2009
Dr. Dolittle: Tail to the Chief,85.0,2008
Dr. Gillespie's New Assistant,87.0,1942
Dr. Jekyll and Mr. Hyde,89.0,2008
Dr. Socrates,70.0,1935
DragonHeart: A New Beginning,84.0,2000
Drive a Crooked Road,83.0,1954
Drive Thru,83.0,2007
Drop Dead Sexy,83.0,2005
Drunken Master III,91.0,1994
Easy Living,77.0,1949
Easy to Love,96.0,1953
Air Crew,144.0,1979
El Condor,102.0,1970
El Gringo,98.0,2012
Elisa,115.0,1995
Elliot Loves,92.0,2012
Elvis and Anabelle,106.0,2007
Elvis Has Left the Building,90.0,2004
Elvis Meets Nixon,95.0,1997
Enchantment,100.0,1948
Endangered Species,94.0,2003
Endure,91.0,2010
Executioners from Shaolin,98.0,1977
The Orkly Kid,35.0,1985
Home Before Dark,136.0,1958
Let No Man Write My Epitaph,105.0,1960
Lost Christmas,88.0,2011
Michael Shayne: Private Detective,77.0,1940
Murder on the Orient Express,100.0,2001
My Friend Irma Goes West,91.0,1950
Enemies Closer,85.0,2013
Enter Arsene Lupin,72.0,1944
Barely Legal,89.0,2011
Nutcracker: The Motion Picture,89.0,1986
The Forgotten Faces,18.0,1961
Russell Brand: Messiah Complex,99.0,2013
Moving Violations,90.0,1985
So Much Water,102.0,2013
The Dark Horse,75.0,1932
The Eagle and the Hawk,68.0,1933
The Fake,101.0,2013
The Fearmakers,85.0,1958
The Happy Road,100.0,1957
The Real Glory,96.0,1939
This Is the Night,80.0,1932
Yellow Rock,89.0,2011
Lucia,136.0,2013
Dancing Outlaw II: Jesco Goes to Hollywood,30.0,1999
Oppressed Majority,11.0,2010
"T,O,U,C,H,I,N,G",12.0,1969
Little Hamlet,8.0,1960
La Belle verte,99.0,1996
Penguins of Madagascar,92.0,2014
Bill Bailey: Qualmpeddler,0.0,2013
Ivul,100.0,2010
Hotline,0.0,2014
Fugly!,86.0,2014
Black or White,121.0,2014
Ragamuffin,137.0,2014
Oko Wykol,2.0,1960
'71,99.0,2014
Bastards,83.0,2014
The Water Diviner,112.0,2014
Enlighten Up!,82.0,2008
Just a Sigh,104.0,2013
The Rabbi's Cat,100.0,2011
Altman,95.0,2014
Still Alice,99.0,2014
Je préfère qu'on reste amis,100.0,2005
Grumpy Cat's Worst Christmas Ever,90.0,2014
Paddington,95.0,2014
Drei Stunden,,2013
Redemption: For Robbing the Dead,105.0,2011
Jessabelle,90.0,2014
Maze Runner: The Scorch Trials,132.0,2015
Kink,80.0,2013
Beautiful Girl,90.0,2014
Showrunners: The Art of Running a TV Show,76.0,2014
Dirigible,100.0,1931
Sir Arne's Treasure,106.0,1919
My Brother Tom,111.0,2001
The Kiss,1.0,1900
Quest,12.0,1996
Scooby-Doo! Frankencreepy,74.0,2014
The Ghost and the Whale,105.0,2016
Pendulum,102.0,1969
Burt's Buzz,88.0,2014
Ice Age: A Mammoth Christmas,26.0,2011
The Bloody Olive,11.0,1997
Hey Bartender,92.0,2013
Kajaki,108.0,2014
A Matter of Size,90.0,2009
Summer of Blood,86.0,2014
Appointment with Crime,92.0,1946
Hungry Hill,92.0,1947
Quartet,120.0,1948
Scott of the Antarctic,111.0,1948
Christopher Columbus,99.0,1949
The Magnet,79.0,1950
Blackmailed,85.0,1951
Pool of London,85.0,1951
Anne of the Indies,81.0,1951
The Lady Says No,80.0,1952
The Story of Robin Hood and His Merrie Men,0.0,1952
The Sword and the Rose,92.0,1953
Above Us the Waves,99.0,1955
Doctor at Sea,93.0,1955
An Alligator Named Daisy,85.0,1955
The Iron Petticoat,87.0,1957
The Living Idol,100.0,1957
Orders to Kill,112.0,1958
Upstairs and Downstairs,101.0,1959
Crooks Anonymous,88.0,1962
Two Weeks in September,96.0,1967
Zeta One,84.0,1969
The Voices,101.0,2014
"Welcome, or No Trespassing",74.0,1964
Adventures of a Dentist,82.0,1965
"Sport, Sport, Sport",85.0,1970
Farewell,121.0,1981
Eagle's Wing,111.0,1979
Levitated Mass,88.0,2013
Nativity 2: Danger in the Manger!,105.0,2012
The Puzzle,87.0,2010
Donald Glover: Weirdo,60.0,2011
Come Back to Me,90.0,2014
Trailer Park Boys: Live at the North Pole,88.0,2014
The Righteous Thief,117.0,2009
State of Emergency,90.0,2011
Almost Married,97.0,2014
The Swinger,81.0,1966
Christmas in Conway,90.0,2013
Grace,87.0,2014
Winter Nomads,90.0,2012
Courier,88.0,1986
Batman vs Dracula,83.0,2005
Baffled!,90.0,1973
Dying Room Only,74.0,1973
Go for It,107.0,1983
Great Expectations,100.0,1934
Hand in Hand,73.0,1961
Tenchi: The Samurai Astronomer,141.0,2012
The Green Prince,99.0,2014
Castles in the Sky,90.0,2014
Cowspiracy: The Sustainability Secret,85.0,2014
McConkey,100.0,2013
Manny,106.0,2014
Chocolate Strawberry Vanilla,85.0,2013
"Mayday at 40,000 Feet!",100.0,1976
Bus Riley's Back In Town,93.0,1965
Mahoney's Last Stand,109.0,1972
Fortune and Men's Eyes,102.0,1971
The Party Animal,78.0,1984
Bleak Night,117.0,2010
To Encourage the Others,105.0,1972
Wanderers,4.0,2014
Clouds of Sils Maria,124.0,2014
Dying of the Light,94.0,2014
Survival Quest,96.0,1988
All Cheerleaders Die,89.0,2013
Cherry Tree Lane,77.0,2010
WolfCop,79.0,2014
It's a Wonderful Afterlife,99.0,2010
The Borderlands,89.0,2013
Slasher House,85.0,2012
The Kick,94.0,2011
Norwegian Ninja,77.0,2010
Borrowed Time,88.0,2013
Hellbenders,87.0,2013
Saving General Yang,102.0,2013
Legacy of Rage,87.0,1986
Shadowzone,88.0,1990
In Your Hands,85.0,2010
Cleopatra Jones and the Casino of Gold,94.0,1975
Eat,45.0,1963
"Jonathan Rosenbaum, Present",13.0,2013
Omega Doom,84.0,1996
Blow Job,35.0,1964
A Justified Life: Sam Peckinpah and the High Country,23.0,2006
The Diary of an Unknown Soldier,17.0,1959
Float,34.0,2007
Home Alone: The Holiday Heist,87.0,2012
The Pokrovsky Gates,140.0,1982
Game of Werewolves,104.0,2011
By the Gun,105.0,2014
The Protector 2,104.0,2013
Blood,92.0,2012
Exit Humanity,114.0,2011
Omen IV: The Awakening,97.0,1991
Ninjas vs. Zombies,86.0,2008
Hard to Be a God,170.0,2013
In Order Not to Be Here,30.0,2003
Mortuary,94.0,2005
Spontaneous Combustion,97.0,1990
Night Terrors,98.0,1993
Trance,100.0,2001
Tell,89.0,2014
In the Shadow of the Machine,22.0,1928
Kill the Messenger,112.0,2014
Dead Souls,93.0,2012
Village People,85.0,2013
A Gorgeous Girl Like Me,98.0,1972
Touch the Top of the World,89.0,2006
Travel Beyond the Three Seas,144.0,1957
The Hearts of Age,8.0,1934
H6: Diary of a Serial Killer,92.0,2005
Sallah,110.0,1964
Grant Morrison:  Talking with Gods,80.0,2010
The Universe of Keith Haring,90.0,2009
The Kingdom of Dreams and Madness,118.0,2013
Mei and the Kittenbus,13.0,2002
"Texas, Adios",93.0,1966
The Bloodstained Shadow,109.0,1978
"Today We Kill, Tomorrow We Die!",105.0,1968
The Devil and Holy Water,0.0,1983
Colt 38 Special Squad,110.0,1976
Ricky e Barabba,0.0,1992
Six Swedish Girls at a Pump,85.0,1980
Killer Cop,95.0,1975
A Cinderella Story: Once Upon a Song,88.0,2011
Baba Yaga,91.0,1973
Play Motel,87.0,1979
The Mad Dog Killer,91.0,1977
The Great Kidnapping,95.0,1973
Bring It On: In It To Win It,90.0,2007
Independents,77.0,2007
Between Miracles,122.0,1971
The Rebel,87.0,1980
The Night Evelyn Came out of the Grave,103.0,1971
The New Monsters Today,0.0,2009
Stunt Squad,92.0,1977
Tifosi,0.0,1999
The Cyclone,91.0,1996
Il tifoso l'arbitro e il calciatore,0.0,1982
Death Steps in the Dark,91.0,1977
"Black Emmanuelle, White Emmanuelle",94.0,1976
Il... Belpaese,0.0,1977
Savage Three,84.0,1975
L'arma,83.0,1978
A Man Called Magnum,88.0,1977
Il fischio al naso,0.0,1967
Viuuulentemente mia,0.0,1982
Gangsters,90.0,1977
Gente Di Rispetto,113.0,1975
Jarhead 2: Field of Fire,103.0,2014
The Mule,103.0,2014
Chantilly Lace,102.0,1993
Shy People,118.0,1987
Shadows in an Empty Room,100.0,1976
Dots,2.0,1940
Hen Hop,4.0,1942
Rock the Boat,4.0,1944
Jingle All the Way 2,93.0,2014
The Face of Love,92.0,2013
Every Girl Should Be Married,85.0,1948
Eight Iron Men,80.0,1952
A True Mob Story,112.0,1998
In the Folds of the Flesh,88.0,1970
The Hobbit: The Battle of the Five Armies,144.0,2014
The Viking Queen,91.0,1967
Selma,127.0,2014
Unbroken,137.0,2014
Black Sea,115.0,2014
Three Wise Fools,90.0,1946
The Frame,127.0,2014
The Red Queen Kills Seven Times,100.0,1972
White Mischief,107.0,1987
Beyond Justice,113.0,1992
Zorro,124.0,1975
Man Without a Memory,92.0,1974
Three Tough Guys,92.0,1974
The Bloodstained Butterfly,95.0,1971
Alive or Preferably Dead,101.0,1969
Death Occurred Last Night,93.0,1970
The Bastard,102.0,1968
The Return of Ringo,95.0,1965
A Pistol for Ringo,98.0,1965
The Scapegoat,0.0,1963
Kiss Kiss... Bang Bang,112.0,1966
The Good Lie,110.0,2014
Action Jackson,144.0,2014
The Improv: 50 Years Behind the Brick Wall,60.0,2013
I Am Santa Claus,89.0,2014
"The Missing Piece: Mona Lisa, Her Thief, the True Story",85.0,2012
Wild Heritage,78.0,1958
The Widow From Chicago,64.0,1930
Lap Dance,100.0,2014
The Baby Maker,109.0,1970
Fat Pizza,96.0,2003
Good Copy Bad Copy,59.0,2007
Comin' at Ya!,91.0,1981
When the Road Bends: Tales of a Gypsy Caravan,110.0,2006
Holy Flying Circus,89.0,2011
House of the Dead 2,95.0,2005
Prey,142.0,2011
Silent Madness,93.0,1984
Wodehouse In Exile,82.0,2013
Zombie Reanimation,86.0,2009
Made in Jamaica,0.0,2006
Playing It Cool,94.0,2014
Dogging: A Love Story,108.0,2009
Blood Dolls,84.0,1999
Cheerleader Massacre,85.0,2003
Flower and Snake 5: Rope Magic,0.0,1987
McLibel,85.0,2005
Bag Boy,94.0,2007
School of the Holy Beast,91.0,1974
The Appointments Of Dennis Jennings,29.0,1988
The Atrocity Exhibition,105.0,2000
The Beales of Grey Gardens,90.0,2006
The Touch of Her Flesh,78.0,1967
Virgin Witch,88.0,1972
The Zombie Chronicles,71.0,2001
The Dust Bowl,240.0,2012
Paris by Night,100.0,2012
Honor Among Lovers,75.0,1931
A Smoky Mountain Christmas,94.0,1986
Closer to the Moon,112.0,2013
Un marido de ida y vuelta,94.0,1957
Marvellous,90.0,2015
Somewhere in the Night,110.0,1946
Love Camp 7,96.0,1969
Free the Nipple,90.0,2014
Bachelor Night,88.0,2014
Khumba,85.0,2013
A Girl Walks Home Alone at Night,99.0,2014
1981,102.0,2009
1987,0.0,2014
Crimi Clowns: De Movie,102.0,2013
Dave Chappelle: For What it's Worth,58.0,2004
Bill Hicks: Relentless,61.0,1992
Ellen DeGeneres: The Beginning,66.0,2000
Scooby-Doo! Abracadabra-Doo,75.0,2010
Mommy,138.0,2014
A Most Violent Year,125.0,2014
Wild,115.0,2014
Zebra Lounge,93.0,2001
Rapid Fire,90.0,2006
Jack the Ripper,182.0,1988
Brutal,91.0,2007
The Curse of King Tut's Tomb,170.0,2006
Titanic,173.0,1996
Butterfly Girl,77.0,2014
Mr. Jones,90.0,2013
Top Five,102.0,2014
Bill Burr: I'm Sorry You Feel That Way,80.0,2014
The Uncommon Making of Petulia,14.0,2006
Fiddle-de-dee,3.0,1947
Blinkity Blank,5.0,1955
Mail Early for Xmas,2.0,1959
Canon,10.0,1964
Boogie-Doodle,4.0,1940
A Chairy Tale,12.0,1957
The Aggression Scale,85.0,2012
Blackbird,4.0,1959
A Phantasy,8.0,1952
Neighbours,8.0,1952
New York Lightboard Record,9.0,1961
Lines: Horizontal,6.0,1962
Mosaic,5.0,1965
Begone Dull Care,8.0,1949
Synchromy,7.0,1971
And Then There Was You,99.0,2013
Straight on Till Morning,96.0,1972
Amour fou,96.0,2014
Redirected,99.0,2014
Don't Blink,92.0,2014
Raiders from Beneath the Sea,73.0,1964
The Wild Bunch: An Album in Montage,35.0,1996
Big Eyes,105.0,2014
I due Pompieri,0.0,1968
Into the Woods,125.0,2014
Bolidi sull'asfalto a tutta birra!,,1970
The Cop in Blue Jeans,95.0,1976
Squadra antifurto,101.0,1976
Il figlio dello sceicco,,1977
Squadra antitruffa,0.0,1977
Little Italy,0.0,1978
Squadra antigangsters,0.0,1979
Agenzia Riccardo Finzi... praticamente detective,,1979
Assassination on the Tiber,98.0,1979
Uno contro l'altro praticamente amici,0.0,1980
Delitto a Porta Romana,,1980
Delitto al ristorante cinese,0.0,1981
The Haunted House,95.0,1982
Delitto sull'autostrada,0.0,1982
Thieves and Robbers,101.0,1983
Delitto al Blue Gay,0.0,1984
Aladdin,95.0,1986
"Rimini, Rimini: A Year Later",110.0,1988
Scooby-Doo! and the Witch's Ghost,70.0,1999
"Men, Women & Children",116.0,2014
Loins of Punjab Presents,88.0,2008
Animated Motion: Part 5,7.0,1978
Narcissus,22.0,1983
Killers,137.0,2014
Galician Caress (of Clay),23.0,1995
Water-mirror of Granada,21.0,1955
Momo,75.0,2001
Ascension,282.0,2014
The Interview,112.0,2014
Flap,106.0,1970
Kingsman: The Secret Service,130.0,2015
Holidaze,88.0,2013
Madonna's Pig,100.0,2011
Night Watch,99.0,1973
Bill Burr: You People Are All The Same,68.0,2012
Night at the Museum: Secret of the Tomb,97.0,2014
The Nativity,98.0,1978
Teenage,80.0,2013
Beyond The Mind's Eye,45.0,1992
Fire in Castilla (Tactilvision from the Moor of the Fright),20.0,1961
Lunch Break,83.0,2008
Paradox,82.0,2010
Special ID,98.0,2013
Katt Williams: The Pimp Chronicles Pt. 1,46.0,2006
Summer in February,101.0,2013
Sorority Wars,95.0,2009
Bad Karma,36.0,1991
Fear Island,95.0,2009
Walking on Sunshine,97.0,2014
Heartbeat,160.0,1938
Wheelmen,93.0,2005
Big Brown Eyes,77.0,1936
How Hitler Lost the War,67.0,1989
King Ordinary,97.0,2013
Food Stamped,60.0,2010
Goodbye to All That,87.0,2014
The Punisher: Dirty Laundry,10.0,2012
Presidentintekijät,,2014
Behaving Badly,92.0,2014
A Madea Christmas,100.0,2013
Nicholas on Holiday,97.0,2014
The Walking Stick,96.0,1970
The Nutcracker Prince,75.0,1990
Bullets Don't Argue,89.0,1964
Days and Nights,92.0,2014
Don't Go In the Woods,82.0,1981
Pigs,85.0,2007
Professor Beware,95.0,1938
"Listen, Darling",75.0,1938
21-87,9.0,1963
A Viking Saga: The Darkest Day,82.0,2013
Thérèse,110.0,2012
With Love... from the Age of Reason,89.0,2010
Yonkers Joe,101.0,2008
A Thousand Times Good Night,111.0,2013
Second Skin,95.0,2000
The Love Machine,108.0,1971
The Lost Prince,180.0,2005
Total Western,105.0,2000
Madea's Big Happy Family,106.0,2011
Bugs Bunny's Looney Christmas Tales,22.0,1979
12 Dates of Christmas,89.0,2011
The Kennedys,0.0,2011
Quatsch und die Nasenbärbande,0.0,2014
Teenage Dirtbag,106.0,2009
12 Wishes of Christmas,87.0,2011
An American Hippie in Israel,95.0,1972
Blast,105.0,1997
Carry On Teacher,86.0,1959
Carry On Constable,86.0,1960
Christina's House,90.0,2000
The Arrival of Joachim Stiller,120.0,1976
Dangerously Close,95.0,1986
Daughters Courageous,107.0,1939
Deceit,92.0,1992
Demon Hunter,78.0,2005
Demon Hunter,90.0,2012
Destination Gobi,90.0,1953
Down Twisted,88.0,1987
Encore,89.0,1951
Escape from Crime,51.0,1942
Escape in the Fog,65.0,1945
Esther and the King,109.0,1960
Evasive Action,91.0,1998
Even Angels Eat Beans,118.0,1973
Everybody Has a Plan,117.0,2012
Everyday Sunshine:  The Story of Fishbone,107.0,2011
Ex-Lady,67.0,1933
Exit to Hell,81.0,2013
Exorcismus,98.0,2010
Eye of the Hurricane,104.0,2012
Eyeball,91.0,1975
Face of Fire,79.0,1959
Face The Music,90.0,1993
Falling Awake,110.0,2010
Nick Offerman: American Ham,78.0,2014
Lemon Tree Passage,84.0,2014
Stormheart,95.0,2008
Seventh Son,102.0,2014
Gloss,118.0,2007
A Nest of Gentry,111.0,1969
The Story of Asya Klyachina,99.0,1966
Out of the Ashes,113.0,2003
The Prophecy: Forsaken,75.0,2005
National Gallery,180.0,2014
The 7th Floor,0.0,2013
"Rakkaudella, Maire",,1999
Heatstroke,92.0,2013
The Wait,96.0,2013
Munger Road,85.0,2011
Myn Bala: Warriors of the Steppe,133.0,2012
Alyce Kills,90.0,2011
Little Witches,90.0,1996
The Haunting of Helena,87.0,2013
Alice in Murderland,90.0,2010
Elfie Hopkins,85.0,2012
The Evictors,92.0,1979
On the Ice,96.0,2011
The Case of the Scorpion's Tail,90.0,1971
Let It Snow,0.0,2013
Chasing Christmas,81.0,2005
Piranhaconda,90.0,2012
Corner Gas: The Movie,90.0,2014
Charleston,111.0,1974
Common,90.0,2014
Woman of Antwerp,95.0,1948
Love Without Pity,84.0,1989
Ethel,97.0,2012
Exit Smiling,77.0,1926
Fanny,102.0,2013
Fearless Fagan,79.0,1952
FernGully 2: The Magical Rescue,72.0,1998
Fiesta,104.0,1947
Fight for Your Life,82.0,1977
Fighting Mad,90.0,1976
Filthy Gorgeous: The Bob Guccione Story,96.0,2013
Final,111.0,2001
Family Way,132.0,2012
Miss Minoes,86.0,2001
Crazy for Christmas,90.0,2005
Arizona Colt Returns,0.0,1970
Giovannona Long-Thigh,94.0,1973
The Violent Professionals,104.0,1973
Gambling City,101.0,1975
Silent Action,98.0,1975
The Suspicious Death of a Minor,100.0,1975
A Man Called Blade,96.0,1977
The Mountain of the Cannibal God,99.0,1978
Island of the Fishmen,93.0,1979
"Saturday, Sunday and Friday",108.0,1979
The Great Alligator,89.0,1979
Don't Play with Tigers,148.0,1982
The Scorpion with Two Tails,94.0,1982
Se tutto va bene siamo rovinati,,1983
"Acapulco, prima spiaggia... a sinistra",0.0,1983
Hands of Steel,94.0,1986
Casablanca Express,90.0,1989
The Fishmen and Their Queen,94.0,1995
L'allenatore nel pallone 2,108.0,2008
Solomon Northup's Odyssey,0.0,1984
Class of '61,95.0,1993
Sharpe's Gold,101.0,1995
Sharpe's Battle,100.0,1995
Sharpe's Sword,101.0,1995
Sharpe's Eagle,98.0,1993
Back to School with Franklin,47.0,2003
The New Babylon,120.0,1929
Let's Kill Ward's Wife,81.0,2014
The Magnificent Trio,103.0,1966
Force of Execution,98.0,2013
Kaksparsh,147.0,2012
A Merry Friggin' Christmas,88.0,2014
Ask Me Anything,100.0,2014
Three the Hard Way,89.0,1974
"Silent Night, Deadly Night 5: The Toy Maker",90.0,1991
Santa Claus,94.0,1959
In the Eyes of the World,95.0,1991
Fame High,101.0,2012
Fire with Fire,103.0,1986
Fireball,94.0,2009
First a Girl,94.0,1935
Fishtales,94.0,2007
Fitzwilly,102.0,1967
Hotel Noir,97.0,2012
Jauja,108.0,2014
The Grump,104.0,2014
Summertime,90.0,2014
Boy Upside Down,94.0,2014
The Forest,98.0,2012
The Swedish Moment,75.0,2014
Raspberry Boat Refugee,93.0,2014
"Girl, Positive",0.0,2007
Beauty Day,92.0,2011
Everything I Can See From Here,7.0,2013
Hotarubi no Mori e,45.0,2011
Annie,119.0,2014
Castle of Blood,87.0,1964
PK,153.0,2014
The Devil's Widow,106.0,1970
Mirage Men,85.0,2013
Boats,6.0,2013
Final: The Rapture,90.0,2013
Finders Keepers,85.0,2014
Five Weeks in a Balloon,101.0,1962
Flesh and Blood,74.0,1922
Flesh Wounds,80.0,2011
Flirtation Walk,97.0,1934
Sansa,116.0,2004
Foodfight!,87.0,2012
Forbidden,87.0,1949
Forbidden,85.0,1953
Forever Lulu,95.0,2000
Forget Me Not,93.0,2011
Fort Massacre,80.0,1958
Fort Vengeance,75.0,1953
Fort Worth,80.0,1951
Shaka Zulu: The Last Great Warrior,179.0,2005
Four Jills in a Jeep,89.0,1944
Four Wives,99.0,1939
Framed,82.0,1947
Francis of Assisi,105.0,1961
Frank & Jesse,105.0,1995
Get Crazy,92.0,1983
America: Imagine the World Without Her,103.0,2014
Symphony of the Soil,104.0,2013
Another Me,86.0,2013
Bang Bang,80.0,1971
Now You Know,102.0,2002
Rocks in my Pockets,88.0,2014
Daughters of Dolma,67.0,2013
My Rainy Days,119.0,2009
Bird People,128.0,2014
It Felt Like Love,82.0,2013
Eye for an Eye,20.0,1966
Miss Granny,124.0,2014
Intermezzo,93.0,1936
Joy of Living,91.0,1938
Drishyam,160.0,2013
Gloriously Wasted,85.0,2012
Thunderpants,83.0,2002
That Man Bolt,103.0,1973
Island of Terror,89.0,1966
Moon Man,95.0,2012
The Fountain,100.0,1989
Foreign Exchange,85.0,2008
FrackNation,77.0,2013
Louis Cyr : The Strongest Man in the World,130.0,2013
Natural Selection,90.0,2011
Comet,91.0,2014
Free and Easy,92.0,1930
Free Ride,86.0,2013
Freedom Strike,93.0,1998
Friday Foster,90.0,1975
From Above,112.0,2014
From Time to Time,95.0,2009
Front Page Woman,82.0,1935
Futuresport,91.0,1998
Gambling Lady,66.0,1934
Gang in Blue,97.0,1996
A Summer in St. Tropez,59.0,1983
Garbo Talks,103.0,1984
Garfield Gets Real,75.0,2007
Garfield's Fun Fest,79.0,2008
George Lopez: America's Mexican,65.0,2007
"George Lopez: It's Not Me, It's You",56.0,2012
